CSV_HEADER: sample,mag_x,mag_y,mag_z,timestamp_ms
MAG_DATA: 153,111,-74,211,7962
MAG_DATA: 154,113,-62,213,8012
MAG_DATA: 155,105,-60,205,8062
MAG_DATA: 156,111,-54,209,8112
MAG_DATA: 157,118,-43,204,8162
MAG_DATA: 158,115,-46,213,8212
MAG_DATA: 159,117,-30,205,8262
MAG_DATA: 160,115,-26,207,8312
MAG_DATA: 161,118,-21,194,8362
MAG_DATA: 162,113,-14,197,8412
MAG_DATA: 163,112,-9,202,8462
MAG_DATA: 164,118,-5,198,8512
MAG_DATA: 165,114,9,202,8562
MAG_DATA: 166,115,12,195,8612
MAG_DATA: 167,103,16,201,8662
MAG_DATA: 168,112,13,196,8712
MAG_DATA: 169,109,24,201,8762
MAG_DATA: 170,102,23,208,8812
MAG_DATA: 171,95,38,195,8862
MAG_DATA: 172,95,24,201,8912
MAG_DATA: 173,94,21,206,8962
MAG_DATA: 174,85,38,197,9012
MAG_DATA: 175,91,44,191,9062
MAG_DATA: 176,77,46,197,9112
MAG_DATA: 177,67,54,197,9162
MAG_DATA: 178,73,62,199,9212
MAG_DATA: 179,58,75,194,9262
MAG_DATA: 180,51,86,197,9312
MAG_DATA: 181,45,90,191,9362
MAG_DATA: 182,43,90,197,9412
MAG_DATA: 183,42,93,188,9462
MAG_DATA: 184,34,91,196,9512
MAG_DATA: 185,33,94,189,9562
MAG_DATA: 186,24,89,200,9612
MAG_DATA: 187,25,100,199,9662
MAG_DATA: 188,23,100,187,9712
MAG_DATA: 189,20,105,192,9762
MAG_DATA: 190,17,110,193,9812
MAG_DATA: 191,13,120,183,9862
MAG_DATA: 192,10,113,184,9912
MAG_DATA: 193,8,115,184,9962
MAG_DATA: 194,-6,113,182,10012
MAG_DATA: 195,-7,118,191,10062
MAG_DATA: 196,-5,118,179,10112
MAG_DATA: 197,-5,126,187,10162
MAG_DATA: 198,-13,116,185,10212
MAG_DATA: 199,-12,125,182,10262
INFO: Logged 200 samples
MAG_DATA: 200,-25,120,189,10312
MAG_DATA: 201,-29,110,193,10362
MAG_DATA: 202,-36,109,182,10412
MAG_DATA: 203,-42,101,188,10462
MAG_DATA: 204,-61,104,187,10512
MAG_DATA: 205,-58,103,186,10562
MAG_DATA: 206,-56,89,178,10612
MAG_DATA: 207,-59,92,181,10662
MAG_DATA: 208,-65,82,191,10712
MAG_DATA: 209,-80,89,184,10762
MAG_DATA: 210,-72,79,190,10812
MAG_DATA: 211,-76,71,184,10862
MAG_DATA: 212,-76,59,200,10912
MAG_DATA: 213,-79,60,195,10962
MAG_DATA: 214,-87,36,199,11012
MAG_DATA: 215,-84,53,202,11062
MAG_DATA: 216,-88,39,200,11112
MAG_DATA: 217,-93,30,199,11162
MAG_DATA: 218,-91,26,205,11212
MAG_DATA: 219,-90,25,198,11262
MAG_DATA: 220,-94,25,200,11312
MAG_DATA: 221,-91,32,203,11362
MAG_DATA: 222,-101,28,197,11412
MAG_DATA: 223,-90,31,202,11462
MAG_DATA: 224,-101,20,201,11512
MAG_DATA: 225,-96,31,202,11562
MAG_DATA: 226,-86,19,204,11612
MAG_DATA: 227,-94,7,208,11662
MAG_DATA: 228,-93,6,197,11712
MAG_DATA: 229,-97,0,211,11762
MAG_DATA: 230,-90,-13,214,11812
MAG_DATA: 231,-89,-32,199,11862
MAG_DATA: 232,-81,-36,203,11912
MAG_DATA: 233,-82,-53,206,11962
MAG_DATA: 234,-57,-80,215,12012
MAG_DATA: 235,-47,-96,211,12062
MAG_DATA: 236,-47,-102,211,12112
MAG_DATA: 237,-27,-122,211,12162
MAG_DATA: 238,-22,-129,210,12212
MAG_DATA: 239,-10,-123,216,12262
MAG_DATA: 240,11,-126,215,12312
MAG_DATA: 241,17,-134,217,12362
MAG_DATA: 242,26,-127,208,12412
MAG_DATA: 243,44,-119,208,12462
MAG_DATA: 244,41,-126,203,12512
MAG_DATA: 245,54,-119,212,12562
MAG_DATA: 246,59,-108,225,12612
MAG_DATA: 247,58,-97,222,12662
MAG_DATA: 248,65,-94,215,12712
MAG_DATA: 249,76,-93,212,12762
MAG_DATA: 250,80,-81,220,12812
MAG_DATA: 251,88,-67,222,12862
MAG_DATA: 252,91,-72,217,12912
MAG_DATA: 253,89,-70,209,12962
MAG_DATA: 254,98,-49,214,13012
MAG_DATA: 255,95,-48,209,13062
MAG_DATA: 256,99,-24,211,13112
MAG_DATA: 257,99,-22,211,13162
MAG_DATA: 258,92,-21,212,13212
MAG_DATA: 259,97,-16,209,13262
MAG_DATA: 260,98,-15,198,13312
MAG_DATA: 261,98,-3,206,13362
MAG_DATA: 262,101,-10,207,13412
MAG_DATA: 263,94,-7,208,13462
MAG_DATA: 264,97,-14,205,13512
MAG_DATA: 265,97,-2,211,13562
MAG_DATA: 266,98,-7,208,13612
MAG_DATA: 267,103,-10,213,13662
MAG_DATA: 268,103,-12,203,13712
MAG_DATA: 269,96,-11,208,13762
MAG_DATA: 270,102,-1,212,13812
MAG_DATA: 271,95,-8,209,13862
MAG_DATA: 272,107,-6,203,13912
MAG_DATA: 273,100,-7,206,13962
MAG_DATA: 274,97,0,205,14012
MAG_DATA: 275,98,-3,212,14062
MAG_DATA: 276,100,1,212,14112
MAG_DATA: 277,99,-8,199,14162
MAG_DATA: 278,102,-13,208,14212
MAG_DATA: 279,96,1,200,14262
MAG_DATA: 280,94,-11,208,14312
MAG_DATA: 281,95,-6,213,14362
MAG_DATA: 282,93,-2,201,14412
MAG_DATA: 283,98,-9,202,14462
MAG_DATA: 284,97,-14,207,14512
MAG_DATA: 285,99,-8,211,14562
MAG_DATA: 286,94,-7,210,14612
MAG_DATA: 287,93,2,203,14662
MAG_DATA: 288,96,-5,206,14712
MAG_DATA: 289,95,-10,207,14762
MAG_DATA: 290,93,-6,209,14812
MAG_DATA: 291,96,1,212,14862
MAG_DATA: 292,97,-10,207,14912
MAG_DATA: 293,91,-6,201,14962
MAG_DATA: 294,96,-5,200,15012
MAG_DATA: 295,100,-11,206,15062
MAG_DATA: 296,97,-4,215,15112
MAG_DATA: 297,94,-13,210,15162
MAG_DATA: 298,98,-5,210,15212
MAG_DATA: 299,94,-7,204,15262
INFO: Logged 300 samples
MAG_DATA: 300,96,-5,210,15312
MAG_DATA: 301,95,-8,215,15362
MAG_DATA: 302,95,-6,203,15412
MAG_DATA: 303,91,-2,207,15462
MAG_DATA: 304,90,-7,210,15512
MAG_DATA: 305,87,-10,209,15562
MAG_DATA: 306,97,-8,203,15612
MAG_DATA: 307,93,0,207,15662
