CSV_HEADER: sample,mag_x,mag_y,mag_z,timestamp_ms
MAG_DATA: 148,-149,215,365,7712
MAG_DATA: 149,-150,216,372,7762
MAG_DATA: 150,-143,215,365,7812
MAG_DATA: 151,-142,218,370,7862
MAG_DATA: 152,-137,211,363,7912
MAG_DATA: 153,-135,215,369,7962
MAG_DATA: 154,-133,207,367,8012
MAG_DATA: 155,-123,213,367,8062
MAG_DATA: 156,-123,203,371,8112
MAG_DATA: 157,-129,197,365,8162
MAG_DATA: 158,-117,199,371,8212
MAG_DATA: 159,-110,198,370,8262
MAG_DATA: 160,-114,206,364,8312
MAG_DATA: 161,-97,203,365,8362
MAG_DATA: 162,-97,203,361,8412
MAG_DATA: 163,-96,196,368,8462
MAG_DATA: 164,-97,193,369,8512
MAG_DATA: 165,-92,194,362,8562
MAG_DATA: 166,-82,204,364,8612
MAG_DATA: 167,-87,203,359,8662
MAG_DATA: 168,-84,190,366,8712
MAG_DATA: 169,-81,197,361,8762
MAG_DATA: 170,-70,196,366,8812
MAG_DATA: 171,-65,187,359,8862
MAG_DATA: 172,-70,194,368,8912
MAG_DATA: 173,-62,188,364,8962
MAG_DATA: 174,-61,185,357,9012
MAG_DATA: 175,-58,184,366,9062
MAG_DATA: 176,-55,175,367,9112
MAG_DATA: 177,-53,171,357,9162
MAG_DATA: 178,-45,169,367,9212
MAG_DATA: 179,-46,164,364,9262
MAG_DATA: 180,-47,167,371,9312
MAG_DATA: 181,-33,161,367,9362
MAG_DATA: 182,-33,153,367,9412
MAG_DATA: 183,-33,153,369,9462
MAG_DATA: 184,-36,148,362,9512
MAG_DATA: 185,-36,154,364,9562
MAG_DATA: 186,-33,145,359,9612
MAG_DATA: 187,-22,144,370,9662
MAG_DATA: 188,-33,141,367,9712
MAG_DATA: 189,-34,136,372,9762
MAG_DATA: 190,-28,132,364,9812
MAG_DATA: 191,-21,131,365,9862
MAG_DATA: 192,-16,124,358,9912
MAG_DATA: 193,-24,128,370,9962
MAG_DATA: 194,-30,120,374,10012
MAG_DATA: 195,-29,117,375,10062
MAG_DATA: 196,-20,102,382,10112
MAG_DATA: 197,-19,93,381,10162
MAG_DATA: 198,-23,89,373,10212
MAG_DATA: 199,-22,90,372,10262
INFO: Logged 200 samples
MAG_DATA: 200,-27,85,369,10312
MAG_DATA: 201,-14,86,382,10362
MAG_DATA: 202,-28,70,380,10412
MAG_DATA: 203,-21,75,379,10462
MAG_DATA: 204,-23,59,379,10512
MAG_DATA: 205,-22,56,380,10562
MAG_DATA: 206,-20,54,380,10612
MAG_DATA: 207,-17,41,387,10662
MAG_DATA: 208,-32,30,386,10712
MAG_DATA: 209,-20,40,392,10762
MAG_DATA: 210,-30,32,390,10812
MAG_DATA: 211,-31,23,389,10862
MAG_DATA: 212,-29,19,381,10912
MAG_DATA: 213,-33,17,399,10962
MAG_DATA: 214,-33,5,395,11012
MAG_DATA: 215,-30,-2,390,11062
MAG_DATA: 216,-30,-4,386,11112
MAG_DATA: 217,-40,-8,384,11162
MAG_DATA: 218,-36,-8,384,11212
MAG_DATA: 219,-38,-20,380,11262
MAG_DATA: 220,-43,-27,383,11312
MAG_DATA: 221,-40,-26,394,11362
MAG_DATA: 222,-38,-36,394,11412
MAG_DATA: 223,-48,-30,394,11462
MAG_DATA: 224,-57,-35,389,11512
