CSV_HEADER: sample,mag_x,mag_y,mag_z,timestamp_ms
MAG_DATA: 99,-109,57,413,5262
INFO: Logged 100 samples
MAG_DATA: 100,-96,72,400,5312
MAG_DATA: 101,-86,84,398,5362
MAG_DATA: 102,-84,84,406,5412
MAG_DATA: 103,-82,98,390,5462
MAG_DATA: 104,-77,99,395,5512
MAG_DATA: 105,-64,104,392,5562
MAG_DATA: 106,-47,113,379,5612
MAG_DATA: 107,-37,119,363,5662
MAG_DATA: 108,-22,120,358,5712
MAG_DATA: 109,-8,120,346,5762
MAG_DATA: 110,4,112,342,5812
MAG_DATA: 111,12,110,334,5862
����������������������������������������������������������������MAG_DATA: 113,12,114,334,5962
MAG_DATA: 114,19,123,325,6012
MAG_DATA: 115,16,120,332,6062
MAG_DATA: 116,16,120,332,6112
MAG_DATA: 117,24,124,318,6162
MAG_DATA: 118,30,124,310,6212
MAG_DATA: 119,28,122,304,6262
MAG_DATA: 120,33,119,307,6312
MAG_DATA: 121,39,113,295,6362
MAG_DATA: 122,42,116,296,6412
MAG_DATA: 123,45,117,297,6462
MAG_DATA: 124,48,116,302,6512
MAG_DATA: 125,43,111,305,6562
MAG_DATA: 126,45,115,305,6612
MAG_DATA: 127,40,120,308,6662
MAG_DATA: 128,32,128,310,6712
MAG_DATA: 129,28,134,314,6762
MAG_DATA: 130,30,138,312,6812
MAG_DATA: 131,26,142,308,6862
MAG_DATA: 132,21,155,321,6912
MAG_DATA: 133,3,155,319,6962
MAG_DATA: 134,10,162,330,7012
MAG_DATA: 135,-11,159,335,7062
MAG_DATA: 136,-19,167,343,7112
MAG_DATA: 137,-32,174,340,7162
MAG_DATA: 138,-44,174,354,7212
MAG_DATA: 139,-60,186,356,7262
MAG_DATA: 140,-72,190,358,7312
MAG_DATA: 141,-78,190,362,7362
MAG_DATA: 142,-102,196,360,7412
MAG_DATA: 143,-107,191,363,7462
MAG_DATA: 144,-118,178,376,7512
MAG_DATA: 145,-146,160,390,7562
MAG_DATA: 146,-162,156,376,7612
MAG_DATA: 147,-178,152,390,7662
MAG_DATA: 148,-212,138,378,7712
MAG_DATA: 149,-224,140,376,7762
MAG_DATA: 150,-242,128,370,7812
MAG_DATA: 151,-255,131,365,7862
MAG_DATA: 152,-272,124,358,7912
MAG_DATA: 153,-277,123,345,7962
MAG_DATA: 154,-282,110,350,8012
MAG_DATA: 155,-298,118,346,8062
MAG_DATA: 156,-300,114,330,8112
MAG_DATA: 157,-316,110,316,8162
MAG_DATA: 158,-324,118,304,8212
MAG_DATA: 159,-327,111,287,8262
MAG_DATA: 160,-338,120,276,8312
MAG_DATA: 161,-326,126,278,8362
MAG_DATA: 162,-341,147,255,8412
MAG_DATA: 163,-340,148,246,8462
MAG_DATA: 164,-336,144,226,8512
MAG_DATA: 165,-340,150,228,8562
MAG_DATA: 166,-341,153,225,8612
MAG_DATA: 167,-347,147,213,8662
MAG_DATA: 168,-361,141,209,8712
MAG_DATA: 169,-351,125,205,8762
MAG_DATA: 170,-356,114,194,8812
MAG_DATA: 171,-359,93,189,8862
MAG_DATA: 172,-365,75,181,8912
MAG_DATA: 173,-363,49,177,8962
MAG_DATA: 174,-351,37,175,9012
MAG_DATA: 175,-356,36,160,9062
MAG_DATA: 176,-354,22,162,9112
MAG_DATA: 177,-353,7,155,9162
MAG_DATA: 178,-351,-7,163,9212
MAG_DATA: 179,-344,-22,162,9262
MAG_DATA: 180,-339,-27,169,9312
MAG_DATA: 181,-337,-31,183,9362
MAG_DATA: 182,-334,-44,192,9412
MAG_DATA: 183,-332,-44,202,9462
MAG_DATA: 184,-324,-58,216,9512
MAG_DATA: 185,-329,-47,241,9562
MAG_DATA: 186,-327,-51,249,9612
MAG_DATA: 187,-319,-51,277,9662
MAG_DATA: 188,-315,-39,293,9712
MAG_DATA: 189,-319,-43,285,9762
MAG_DATA: 190,-314,-28,302,9812
MAG_DATA: 191,-304,-26,314,9862
MAG_DATA: 192,-318,-24,320,9912
MAG_DATA: 193,-297,-13,335,9962
MAG_DATA: 194,-284,0,340,10012
MAG_DATA: 195,-281,9,347,10062
MAG_DATA: 196,-280,14,360,10112
MAG_DATA: 197,-274,34,374,10162
MAG_DATA: 198,-267,45,373,10212
MAG_DATA: 199,-248,54,376,10262
INFO: Logged 200 samples
MAG_DATA: 200,-237,65,385,10312
MAG_DATA: 201,-232,68,386,10362
MAG_DATA: 202,-219,93,385,10412
MAG_DATA: 203,-196,120,378,10462
MAG_DATA: 204,-196,134,390,10512
MAG_DATA: 205,-192,134,388,10562
MAG_DATA: 206,-177,161,381,10612
MAG_DATA: 207,-178,168,378,10662
MAG_DATA: 208,-165,185,375,10712
MAG_DATA: 209,-173,195,363,10762
MAG_DATA: 210,-166,222,344,10812
MAG_DATA: 211,-166,238,340,10862
MAG_DATA: 212,-167,243,333,10912
MAG_DATA: 213,-151,255,315,10962
MAG_DATA: 214,-151,273,315,11012
MAG_DATA: 215,-161,277,299,11062
MAG_DATA: 216,-148,306,262,11112
MAG_DATA: 217,-140,310,252,11162
MAG_DATA: 218,-144,310,238,11212
MAG_DATA: 219,-150,322,220,11262
MAG_DATA: 220,-155,323,205,11312
MAG_DATA: 221,-161,323,207,11362
MAG_DATA: 222,-154,326,194,11412
MAG_DATA: 223,-166,332,188,11462
MAG_DATA: 224,-175,319,179,11512
MAG_DATA: 225,-175,331,185,11562
MAG_DATA: 226,-185,319,161,11612
MAG_DATA: 227,-187,331,167,11662
MAG_DATA: 228,-184,326,158,11712
MAG_DATA: 229,-185,333,155,11762
MAG_DATA: 230,-190,324,148,11812
MAG_DATA: 231,-181,329,155,11862
MAG_DATA: 232,-182,330,156,11912
MAG_DATA: 233,-177,329,163,11962
MAG_DATA: 234,-185,329,167,12012
MAG_DATA: 235,-166,328,172,12062
MAG_DATA: 236,-168,328,168,12112
MAG_DATA: 237,-169,331,179,12162
MAG_DATA: 238,-174,328,188,12212
MAG_DATA: 239,-181,335,189,12262
MAG_DATA: 240,-170,330,196,12312
MAG_DATA: 241,-190,332,204,12362
MAG_DATA: 242,-190,330,196,12412
MAG_DATA: 243,-199,335,213,12462
MAG_DATA: 244,-203,329,215,12512
MAG_DATA: 245,-206,330,216,12562
MAG_DATA: 246,-198,322,222,12612
MAG_DATA: 247,-212,326,222,12662
MAG_DATA: 248,-202,320,230,12712
MAG_DATA: 249,-208,323,231,12762
MAG_DATA: 250,-215,321,241,12812
MAG_DATA: 251,-221,313,251,12862
MAG_DATA: 252,-213,313,259,12912
MAG_DATA: 253,-219,295,273,12962
MAG_DATA: 254,-223,283,279,13012
MAG_DATA: 255,-228,278,286,13062
MAG_DATA: 256,-236,266,302,13112
MAG_DATA: 257,-229,255,319,13162
MAG_DATA: 258,-235,241,333,13212
MAG_DATA: 259,-229,215,355,13262
MAG_DATA: 260,-219,189,361,13312
MAG_DATA: 261,-206,184,384,13362
MAG_DATA: 262,-200,156,382,13412
MAG_DATA: 263,-198,134,400,13462
MAG_DATA: 264,-192,126,410,13512
MAG_DATA: 265,-167,113,415,13562
MAG_DATA: 266,-160,100,412,13612
MAG_DATA: 267,-138,98,424,13662
MAG_DATA: 268,-117,91,429,13712
MAG_DATA: 269,-90,84,418,13762
MAG_DATA: 270,-77,75,409,13812
MAG_DATA: 271,-65,69,397,13862
MAG_DATA: 272,-49,61,399,13912
MAG_DATA: 273,-43,65,393,13962
MAG_DATA: 274,-40,62,396,14012
MAG_DATA: 275,-33,69,389,14062
MAG_DATA: 276,-25,53,397,14112
MAG_DATA: 277,-17,55,389,14162
MAG_DATA: 278,-19,51,383,14212
MAG_DATA: 279,-10,50,380,14262
MAG_DATA: 280,-3,55,373,14312
MAG_DATA: 281,0,34,368,14362
MAG_DATA: 282,3,29,363,14412
MAG_DATA: 283,8,32,364,14462
MAG_DATA: 284,9,33,369,14512
MAG_DATA: 285,14,40,360,14562
MAG_DATA: 286,16,26,358,14612
MAG_DATA: 287,8,40,358,14662
MAG_DATA: 288,27,43,347,14712
MAG_DATA: 289,25,47,347,14762
MAG_DATA: 290,32,50,350,14812
MAG_DATA: 291,37,45,333,14862
MAG_DATA: 292,34,46,336,14912
MAG_DATA: 293,29,43,335,14962
MAG_DATA: 294,31,37,327,15012
MAG_DATA: 295,26,34,350,15062
MAG_DATA: 296,24,32,334,15112
MAG_DATA: 297,14,34,346,15162
MAG_DATA: 298,9,27,351,15212
MAG_DATA: 299,2,24,356,15262
INFO: Logged 300 samples
MAG_DATA: 300,2,22,362,15312
MAG_DATA: 301,2,28,370,15362
MAG_DATA: 302,-4,34,372,15412
MAG_DATA: 303,-16,42,372,15462
MAG_DATA: 304,-21,59,381,15512
MAG_DATA: 305,-39,75,379,15562
MAG_DATA: 306,-41,81,381,15612
MAG_DATA: 307,-38,82,378,15662
MAG_DATA: 308,-41,105,383,15712
MAG_DATA: 309,-62,114,378,15762
MAG_DATA: 310,-56,128,390,15812
MAG_DATA: 311,-69,133,383,15862
MAG_DATA: 312,-76,136,390,15912
MAG_DATA: 313,-83,143,385,15962
MAG_DATA: 314,-99,157,381,16012
MAG_DATA: 315,-95,145,385,16062
MAG_DATA: 316,-107,139,405,16112
MAG_DATA: 317,-122,124,406,16162
MAG_DATA: 318,-146,112,412,16212
MAG_DATA: 319,-168,98,414,16262
MAG_DATA: 320,-193,95,409,16312
MAG_DATA: 321,-213,85,401,16362
MAG_DATA: 322,-213,77,401,16412
MAG_DATA: 323,-238,70,406,16462
MAG_DATA: 324,-261,61,391,16512
MAG_DATA: 325,-275,53,377,16562
MAG_DATA: 326,-291,51,365,16612
MAG_DATA: 327,-318,32,340,16662
MAG_DATA: 328,-330,16,322,16712
MAG_DATA: 329,-344,16,306,16762
MAG_DATA: 330,-347,15,289,16812
MAG_DATA: 331,-357,5,265,16862
MAG_DATA: 332,-366,-6,254,16912
MAG_DATA: 333,-362,-6,236,16962
MAG_DATA: 334,-356,-8,228,17012
MAG_DATA: 335,-370,-10,210,17062
MAG_DATA: 336,-360,-26,204,17112
MAG_DATA: 337,-358,-36,186,17162
MAG_DATA: 338,-344,-46,180,17212
MAG_DATA: 339,-343,-55,175,17262
MAG_DATA: 340,-328,-70,182,17312
MAG_DATA: 341,-335,-83,175,17362
MAG_DATA: 342,-324,-98,170,17412
MAG_DATA: 343,-311,-105,175,17462
MAG_DATA: 344,-302,-124,184,17512
MAG_DATA: 345,-288,-130,182,17562
MAG_DATA: 346,-281,-137,197,17612
MAG_DATA: 347,-260,-168,212,17662
MAG_DATA: 348,-258,-176,218,17712
MAG_DATA: 349,-232,-188,224,17762
MAG_DATA: 350,-210,-200,222,17812
MAG_DATA: 351,-183,-199,229,17862
MAG_DATA: 352,-152,-200,230,17912
MAG_DATA: 353,-141,-199,245,17962
MAG_DATA: 354,-135,-191,257,18012
MAG_DATA: 355,-124,-192,274,18062
MAG_DATA: 356,-105,-169,301,18112
MAG_DATA: 357,-98,-158,334,18162
MAG_DATA: 358,-104,-138,344,18212
MAG_DATA: 359,-96,-116,362,18262
MAG_DATA: 360,-95,-101,375,18312
MAG_DATA: 361,-97,-83,379,18362
MAG_DATA: 362,-98,-68,392,18412
MAG_DATA: 363,-103,-53,391,18462
MAG_DATA: 364,-106,-32,400,18512
MAG_DATA: 365,-102,-24,410,18562
MAG_DATA: 366,-103,-29,407,18612
MAG_DATA: 367,-110,-20,408,18662
MAG_DATA: 368,-106,-18,416,18712
MAG_DATA: 369,-112,-14,410,18762
MAG_DATA: 370,-126,-12,406,18812
MAG_DATA: 371,-119,-5,407,18862
MAG_DATA: 372,-122,-4,414,18912
MAG_DATA: 373,-133,-5,415,18962
MAG_DATA: 374,-132,-2,416,19012
MAG_DATA: 375,-131,1,415,19062
MAG_DATA: 376,-131,1,409,19112
MAG_DATA: 377,-143,-1,409,19162
MAG_DATA: 378,-154,2,408,19212
MAG_DATA: 379,-154,14,416,19262
MAG_DATA: 380,-170,-6,416,19312
MAG_DATA: 381,-172,6,414,19362
MAG_DATA: 382,-178,2,416,19412
MAG_DATA: 383,-194,24,418,19462
MAG_DATA: 384,-194,16,414,19512
MAG_DATA: 385,-201,37,413,19562
MAG_DATA: 386,-195,65,403,19612
MAG_DATA: 387,-212,68,410,19662
MAG_DATA: 388,-214,68,408,19712
MAG_DATA: 389,-212,66,396,19762
MAG_DATA: 390,-228,56,408,19812
MAG_DATA: 391,-226,64,400,19862
MAG_DATA: 392,-231,63,393,19912
MAG_DATA: 393,-236,58,396,19962
MAG_DATA: 394,-235,59,389,20012
MAG_DATA: 395,-252,74,388,20062
MAG_DATA: 396,-255,83,383,20112
MAG_DATA: 397,-258,88,388,20162
MAG_DATA: 398,-264,92,380,20212
MAG_DATA: 399,-255,111,383,20262
INFO: Logged 400 samples
MAG_DATA: 400,-260,108,378,20312
MAG_DATA: 401,-251,107,377,20362
MAG_DATA: 402,-257,107,371,20412
MAG_DATA: 403,-253,121,383,20462
MAG_DATA: 404,-256,124,376,20512
MAG_DATA: 405,-249,139,371,20562
MAG_DATA: 406,-246,142,368,20612
MAG_DATA: 407,-243,143,369,20662
MAG_DATA: 408,-243,157,379,20712
MAG_DATA: 409,-239,151,363,20762
MAG_DATA: 410,-235,149,375,20812
MAG_DATA: 411,-222,158,368,20862
MAG_DATA: 412,-231,159,373,20912
MAG_DATA: 413,-223,169,367,20962
MAG_DATA: 414,-219,173,363,21012
MAG_DATA: 415,-224,182,368,21062
MAG_DATA: 416,-225,195,357,21112
MAG_DATA: 417,-231,185,357,21162
MAG_DATA: 418,-223,193,361,21212
MAG_DATA: 419,-212,192,360,21262
MAG_DATA: 420,-211,199,359,21312
MAG_DATA: 421,-200,192,364,21362
MAG_DATA: 422,-188,202,364,21412
MAG_DATA: 423,-187,209,369,21462
MAG_DATA: 424,-180,202,366,21512
MAG_DATA: 425,-165,201,365,21562
MAG_DATA: 426,-157,197,383,21612
MAG_DATA: 427,-141,181,381,21662
MAG_DATA: 428,-124,170,384,21712
MAG_DATA: 429,-112,182,380,21762
MAG_DATA: 430,-109,179,383,21812
MAG_DATA: 431,-107,179,389,21862
MAG_DATA: 432,-99,189,395,21912
MAG_DATA: 433,-101,188,404,21962
MAG_DATA: 434,-107,209,409,22012
MAG_DATA: 435,-117,219,401,22062
MAG_DATA: 436,-115,219,395,22112
MAG_DATA: 437,-99,225,401,22162
MAG_DATA: 438,-104,212,406,22212
MAG_DATA: 439,-94,212,408,22262
MAG_DATA: 440,-87,203,409,22312
MAG_DATA: 441,-96,206,412,22362
MAG_DATA: 442,-91,209,423,22412
MAG_DATA: 443,-93,219,421,22462
MAG_DATA: 444,-90,218,418,22512
MAG_DATA: 445,-99,219,435,22562
MAG_DATA: 446,-102,222,434,22612
MAG_DATA: 447,-95,213,439,22662
MAG_DATA: 448,-103,215,443,22712
MAG_DATA: 449,-88,196,432,22762
MAG_DATA: 450,-88,162,402,22812
MAG_DATA: 451,-81,167,391,22862
MAG_DATA: 452,-72,142,390,22912
����������������������������������������������������������������
MAG_DATA: 454,-72,126,392,23012
MAG_DATA: 455,-75,117,401,23062
MAG_DATA: 456,-83,109,403,23112
MAG_DATA: 457,-80,102,402,23162
MAG_DATA: 458,-68,90,396,23212
MAG_DATA: 459,-76,94,402,23262
MAG_DATA: 460,-76,92,402,23312
MAG_DATA: 461,-75,77,403,23362
MAG_DATA: 462,-74,70,406,23412
MAG_DATA: 463,-71,71,417,23462
MAG_DATA: 464,-70,54,402,23512
MAG_DATA: 465,-52,46,402,23562
MAG_DATA: 466,-60,40,404,23612
MAG_DATA: 467,-57,35,405,23662
MAG_DATA: 468,-50,34,400,23712
MAG_DATA: 469,-66,26,398,23762
MAG_DATA: 470,-55,25,411,23812
MAG_DATA: 471,-59,13,399,23862
MAG_DATA: 472,-58,16,406,23912
MAG_DATA: 473,-57,11,403,23962
MAG_DATA: 474,-58,-4,406,24012
MAG_DATA: 475,-57,3,399,24062
MAG_DATA: 476,-54,-18,398,24112
MAG_DATA: 477,-45,-15,397,24162
MAG_DATA: 478,-59,-23,403,24212
MAG_DATA: 479,-60,-24,392,24262
MAG_DATA: 480,-63,-33,399,24312
MAG_DATA: 481,-68,-34,402,24362
MAG_DATA: 482,-85,-31,391,24412
MAG_DATA: 483,-81,-39,403,24462
MAG_DATA: 484,-79,-33,405,24512
MAG_DATA: 485,-77,-39,395,24562
MAG_DATA: 486,-87,-37,395,24612
MAG_DATA: 487,-76,-36,400,24662
MAG_DATA: 488,-61,-35,393,24712
MAG_DATA: 489,-67,-47,385,24762
MAG_DATA: 490,-49,-31,387,24812
MAG_DATA: 491,-39,-27,381,24862
MAG_DATA: 492,-37,-37,381,24912
MAG_DATA: 493,-32,-38,364,24962
MAG_DATA: 494,-10,-28,366,25012
MAG_DATA: 495,-9,-39,361,25062
MAG_DATA: 496,6,-40,342,25112
MAG_DATA: 497,8,-40,334,25162
MAG_DATA: 498,10,-44,340,25212
MAG_DATA: 499,19,-53,325,25262
INFO: Logged 500 samples
MAG_DATA: 500,26,-48,326,25312
MAG_DATA: 501,35,-47,317,25362
MAG_DATA: 502,35,-51,313,25412
MAG_DATA: 503,37,-45,313,25462
MAG_DATA: 504,36,-50,300,25512
MAG_DATA: 505,39,-53,297,25562
MAG_DATA: 506,33,-53,301,25612
MAG_DATA: 507,38,-36,306,25662
MAG_DATA: 508,34,-38,306,25712
MAG_DATA: 509,34,-38,316,25762
MAG_DATA: 510,29,-17,317,25812
MAG_DATA: 511,32,-26,330,25862
MAG_DATA: 512,16,-26,334,25912
MAG_DATA: 513,15,-13,339,25962
MAG_DATA: 514,10,-10,342,26012
MAG_DATA: 515,2,-16,348,26062
MAG_DATA: 516,5,-15,357,26112
MAG_DATA: 517,-10,-12,360,26162
MAG_DATA: 518,-11,-13,373,26212
MAG_DATA: 519,-22,-14,370,26262
MAG_DATA: 520,-25,-9,375,26312
MAG_DATA: 521,-34,2,388,26362
MAG_DATA: 522,-42,-8,396,26412
MAG_DATA: 523,-56,-2,398,26462
MAG_DATA: 524,-56,4,402,26512
MAG_DATA: 525,-80,8,414,26562
MAG_DATA: 526,-89,25,411,26612
MAG_DATA: 527,-103,33,409,26662
MAG_DATA: 528,-117,39,411,26712
MAG_DATA: 529,-117,37,419,26762
MAG_DATA: 530,-138,44,410,26812
MAG_DATA: 531,-154,60,414,26862
MAG_DATA: 532,-151,57,419,26912
MAG_DATA: 533,-175,67,417,26962
MAG_DATA: 534,-177,65,419,27012
MAG_DATA: 535,-187,53,417,27062
MAG_DATA: 536,-181,55,415,27112
MAG_DATA: 537,-188,56,416,27162
MAG_DATA: 538,-186,56,416,27212
MAG_DATA: 539,-176,62,414,27262
MAG_DATA: 540,-178,42,410,27312
MAG_DATA: 541,-180,40,412,27362
MAG_DATA: 542,-178,30,414,27412
MAG_DATA: 543,-178,28,416,27462
MAG_DATA: 544,-175,9,413,27512
MAG_DATA: 545,-162,2,416,27562
MAG_DATA: 546,-164,2,410,27612
MAG_DATA: 547,-154,-2,414,27662
MAG_DATA: 548,-148,-16,414,27712
MAG_DATA: 549,-120,-14,414,27762
MAG_DATA: 550,-99,-5,419,27812
MAG_DATA: 551,-82,-2,406,27862
MAG_DATA: 552,-76,16,402,27912
MAG_DATA: 553,-66,14,400,27962
MAG_DATA: 554,-69,15,401,28012
MAG_DATA: 555,-66,36,406,28062
MAG_DATA: 556,-62,26,394,28112
MAG_DATA: 557,-39,37,391,28162
MAG_DATA: 558,-35,47,379,28212
MAG_DATA: 559,-21,47,363,28262
MAG_DATA: 560,-11,43,367,28312
MAG_DATA: 561,6,62,358,28362
MAG_DATA: 562,14,62,354,28412
MAG_DATA: 563,20,70,338,28462
MAG_DATA: 564,21,85,331,28512
MAG_DATA: 565,28,92,332,28562
MAG_DATA: 566,33,95,329,28612
MAG_DATA: 567,27,99,331,28662
MAG_DATA: 568,18,112,328,28712
MAG_DATA: 569,17,115,325,28762
MAG_DATA: 570,18,124,332,28812
MAG_DATA: 571,11,125,333,28862
MAG_DATA: 572,4,144,330,28912
MAG_DATA: 573,4,150,320,28962
MAG_DATA: 574,7,157,319,29012
MAG_DATA: 575,-4,170,326,29062
MAG_DATA: 576,-16,174,326,29112
MAG_DATA: 577,-19,191,333,29162
MAG_DATA: 578,-32,206,336,29212
MAG_DATA: 579,-45,205,331,29262
MAG_DATA: 580,-49,215,331,29312
MAG_DATA: 581,-59,203,337,29362
MAG_DATA: 582,-68,198,346,29412
MAG_DATA: 583,-66,204,344,29462
MAG_DATA: 584,-60,202,336,29512
MAG_DATA: 585,-60,208,348,29562
MAG_DATA: 586,-73,195,343,29612
MAG_DATA: 587,-69,209,343,29662
MAG_DATA: 588,-82,202,344,29712
MAG_DATA: 589,-86,208,344,29762
MAG_DATA: 590,-97,205,345,29812
MAG_DATA: 591,-102,218,346,29862
MAG_DATA: 592,-104,220,342,29912
MAG_DATA: 593,-119,225,337,29962
MAG_DATA: 594,-112,226,336,30012
MAG_DATA: 595,-129,235,337,30062
MAG_DATA: 596,-144,234,336,30112
MAG_DATA: 597,-156,236,328,30162
MAG_DATA: 598,-177,235,337,30212
MAG_DATA: 599,-192,234,332,30262
INFO: Logged 600 samples
MAG_DATA: 600,-196,224,330,30312
MAG_DATA: 601,-209,227,319,30362
MAG_DATA: 602,-214,216,320,30412
MAG_DATA: 603,-219,203,331,30462
MAG_DATA: 604,-229,199,343,30512
MAG_DATA: 605,-228,186,346,30562
MAG_DATA: 606,-234,188,336,30612
MAG_DATA: 607,-226,194,344,30662
MAG_DATA: 608,-220,178,360,30712
MAG_DATA: 609,-216,172,352,30762
MAG_DATA: 610,-213,197,357,30812
MAG_DATA: 611,-215,195,353,30862
MAG_DATA: 612,-214,190,362,30912
MAG_DATA: 613,-209,175,363,30962
MAG_DATA: 614,-199,185,361,31012
MAG_DATA: 615,-192,186,366,31062
MAG_DATA: 616,-175,195,363,31112
MAG_DATA: 617,-172,200,372,31162
MAG_DATA: 618,-170,200,360,31212
MAG_DATA: 619,-159,205,373,31262
MAG_DATA: 620,-144,204,376,31312
MAG_DATA: 621,-137,203,365,31362
MAG_DATA: 622,-127,205,375,31412
MAG_DATA: 623,-107,205,367,31462
MAG_DATA: 624,-103,197,365,31512
MAG_DATA: 625,-95,185,371,31562
MAG_DATA: 626,-82,176,380,31612
MAG_DATA: 627,-70,164,380,31662
MAG_DATA: 628,-75,145,389,31712
MAG_DATA: 629,-67,133,393,31762
MAG_DATA: 630,-63,127,395,31812
MAG_DATA: 631,-64,110,398,31862
MAG_DATA: 632,-62,108,392,31912
MAG_DATA: 633,-59,101,389,31962
MAG_DATA: 634,-63,97,389,32012
MAG_DATA: 635,-54,108,384,32062
MAG_DATA: 636,-64,116,386,32112
MAG_DATA: 637,-46,142,370,32162
MAG_DATA: 638,-51,157,367,32212
MAG_DATA: 639,-60,166,356,32262
MAG_DATA: 640,-59,197,349,32312
MAG_DATA: 641,-60,198,346,32362
MAG_DATA: 642,-77,193,357,32412
MAG_DATA: 643,-67,195,347,32462
MAG_DATA: 644,-73,229,341,32512
MAG_DATA: 645,-85,236,322,32562
MAG_DATA: 646,-98,248,328,32612
MAG_DATA: 647,-86,258,316,32662
MAG_DATA: 648,-93,271,301,32712
MAG_DATA: 649,-103,283,297,32762
MAG_DATA: 650,-103,291,279,32812
MAG_DATA: 651,-107,297,271,32862
MAG_DATA: 652,-111,311,253,32912
MAG_DATA: 653,-125,311,255,32962
MAG_DATA: 654,-134,310,248,33012
MAG_DATA: 655,-162,310,254,33062
MAG_DATA: 656,-176,306,256,33112
MAG_DATA: 657,-195,309,253,33162
MAG_DATA: 658,-214,300,246,33212
MAG_DATA: 659,-237,299,245,33262
MAG_DATA: 660,-254,290,230,33312
MAG_DATA: 661,-267,287,233,33362
MAG_DATA: 662,-278,278,232,33412
MAG_DATA: 663,-295,269,235,33462
MAG_DATA: 664,-302,262,228,33512
MAG_DATA: 665,-315,239,229,33562
MAG_DATA: 666,-324,226,236,33612
MAG_DATA: 667,-346,200,226,33662
MAG_DATA: 668,-362,188,218,33712
MAG_DATA: 669,-360,166,216,33762
MAG_DATA: 670,-367,135,209,33812
MAG_DATA: 671,-376,120,210,33862
MAG_DATA: 672,-375,101,193,33912
MAG_DATA: 673,-371,91,189,33962
MAG_DATA: 674,-372,74,176,34012
MAG_DATA: 675,-371,53,171,34062
MAG_DATA: 676,-366,36,146,34112
MAG_DATA: 677,-358,-6,144,34162
MAG_DATA: 678,-343,-29,147,34212
MAG_DATA: 679,-345,-51,149,34262
MAG_DATA: 680,-335,-69,143,34312
MAG_DATA: 681,-323,-85,147,34362
MAG_DATA: 682,-312,-102,158,34412
MAG_DATA: 683,-312,-106,150,34462
MAG_DATA: 684,-294,-128,156,34512
